"mcl_number","section_number"
"M.C.L 6.28.030(","Section 6.28.030("
"M.C.L 6.28.030 ","Section 6.28.030 "
"M.C.L 6.04.010 ","Section 6.04.010 "
"M.C.L 2.104.050","Section 2.104.050"
"M.C.L 17.40.580","Section 17.40.580"
"M.C.L 17.40.520","Section 17.40.520"
"M.C.L 17.40.510","Section 17.40.510"
"M.C.L 17.40.470","Section 17.40.470"
"M.C.L 17.40-510","Section 17.40-510"
"M.C.L 17.32.060","Section 17.32.060"
"M.C.L 17.32.050","Section 17.32.050"
"M.C.L 17.32.040","Section 17.32.040"
"M.C.L 17.32.020","Section 17.32.020"
"M.C.L 17.28.100","Section 17.28.100"
"M.C.L 17.28.090","Section 17.28.090"
"M.C.L 17.24.090","Section 17.24.090"
"M.C.L 17.24.080","Section 17.24.080"
"M.C.L 17.24. Fa","Section 17.24. Fa"
"M.C.L 17.20.070","Section 17.20.070"
"M.C.L 17.16.330","Section 17.16.330"
"M.C.L 17.16.250","Section 17.16.250"
"M.C.L 17.16.030","Section 17.16.030"
"M.C.L 17.12.040","Section 17.12.040"
"M.C.L 17.08.030","Section 17.08.030"
"M.C.L 17.04.100","Section 17.04.100"
"M.C.L 17.04.060","Section 17.04.060"
"M.C.L 16.34.400","Section 16.34.400"
"M.C.L 16.28.010","Section 16.28.010"
"M.C.L 16.24.550","Section 16.24.550"
"M.C.L 16.24.530","Section 16.24.530"
"M.C.L 16.24.500","Section 16.24.500"
"M.C.L 16.24.490","Section 16.24.490"
"M.C.L 16.24.480","Section 16.24.480"
"M.C.L 16.24.470","Section 16.24.470"
"M.C.L 16.24.450","Section 16.24.450"
"M.C.L 16.24.440","Section 16.24.440"
"M.C.L 16.24.430","Section 16.24.430"
"M.C.L 16.24.420","Section 16.24.420"
"M.C.L 16.24.410","Section 16.24.410"
"M.C.L 16.24.400","Section 16.24.400"
"M.C.L 16.24.390","Section 16.24.390"
"M.C.L 16.24.380","Section 16.24.380"
"M.C.L 16.24.370","Section 16.24.370"
"M.C.L 16.24.360","Section 16.24.360"
"M.C.L 16.24.350","Section 16.24.350"
"M.C.L 16.24.340","Section 16.24.340"
"M.C.L 16.24.330","Section 16.24.330"
"M.C.L 16.24.320","Section 16.24.320"
"M.C.L 16.24.310","Section 16.24.310"
"M.C.L 16.24.130","Section 16.24.130"
"M.C.L 16.24.030","Section 16.24.030"
"M.C.L 16.24-470","Section 16.24-470"
"M.C.L 16.16.030","Section 16.16.030"
"M.C.L 16.16.020","Section 16.16.020"
"M.C.L 16.04.200","Section 16.04.200"
"M.C.L 16.04.110","Section 16.04.110"
"M.C.L 15.72.070","Section 15.72.070"
"M.C.L 15.72.060","Section 15.72.060"
"M.C.L 15.72.040","Section 15.72.040"
"M.C.L 15.72.020","Section 15.72.020"
"M.C.L 15.40.040","Section 15.40.040"
"M.C.L 12.08.210","Section 12.08.210"
"M.C.L 10.52.020","Section 10.52.020"
"M.C.L 10.36.030","Section 10.36.030"
"M.C.L 10.36.020","Section 10.36.020"
"M.C.L 10.32.130","Section 10.32.130"
"M.C.L 10.32.120","Section 10.32.120"
"M.C.L 10.24.160","Section 10.24.160"
"M.C.L 10.24.150","Section 10.24.150"
"M.C.L 10.24.140","Section 10.24.140"
"M.C.L 10.24.130","Section 10.24.130"
"M.C.L 10.24.110","Section 10.24.110"
"M.C.L 10.24.080","Section 10.24.080"
"M.C.L 10.24.070","Section 10.24.070"
"M.C.L 10.24.060","Section 10.24.060"
"M.C.L 10.24.050","Section 10.24.050"
"M.C.L 10.24.040","Section 10.24.040"
"M.C.L 10.24.030","Section 10.24.030"
"M.C.L 10.24.020","Section 10.24.020"
"M.C.L 10.20.330","Section 10.20.330"
"M.C.L 10.20.240","Section 10.20.240"
"M.C.L 10.20.130","Section 10.20.130"
"M.C.L 10.20.120","Section 10.20.120"
